"code","outcrop","analysed.material","period","p206.204","p207.204","p208.204","p207.206","p208.206","tmod","mu12","kappa12","reference","ref.code","decimallatitude","decimallongitude"
"GDM.0005",NA,"Pb metal","Roman",18.33,15.77,38.9,0.861,2.122,530,10.23,4.2641,"Grögler et al., 1966","Ref.003",40.098864,-8.493918
"GDM.0006",NA,"Pb metal","Roman",18.42,15.74,38.71,0.855,2.102,414,10.08,4.0883,"Grögler et al., 1966","Ref.003",37.285612,-8.549999
"GDM.0007",NA,"Pb metal","Roman",18.42,15.72,38.69,0.854,2.101,378,10,4.0708,"Grögler et al., 1966","Ref.003",37.285612,-8.549999
"GDM.0023",NA,"Pb metal","Roman",18.73,16.119,39.276,0.861,2.097,812,11.57,4.2939,"Craddock et al., 1985","Ref.009",37.715398,-6.583105
"GDM.0024",NA,"Pb metal","Roman",18.59,15.709,38.9,0.845,2.093,234,9.92,4.0616,"Craddock et al., 1985","Ref.009",37.715398,-6.583105
"GDM.0025",NA,"Pb metal","Roman",18.779,15.764,39.269,0.839,2.091,200,10.09,4.1424,"Craddock et al., 1985","Ref.009",37.715398,-6.583105
"GDM.0026",NA,"Litharge","Roman",18.599,15.702,38.879,0.844,2.09,214,9.89,4.0422,"Craddock et al., 1985","Ref.009",37.715398,-6.583105
"GDM.0027",NA,"Silver","Roman",18.516,15.647,38.648,0.845,2.087,169,9.69,3.9582,"Craddock et al., 1985","Ref.009",37.715398,-6.583105
"GDM.0028",NA,"Pb metal","Roman",18.73,15.703,39.064,0.838,2.086,119,9.86,4.0497,"Craddock et al., 1985","Ref.009",37.715398,-6.583105
"GDM.0029",NA,"Pb metal","Roman",18.522,15.714,38.824,0.848,2.096,293,9.95,4.0698,"Craddock et al., 1985","Ref.009",37.715398,-6.583105
"GDM.0041",NA,"Pb metal","s. XV",18.37,15.61,38.35,0.85,2.088,207,9.58,3.8853,"Brill et al, 1987","Ref.011",37.33,2
"GDM.0042",NA,"Pb metal","s. XV",18.5,15.66,38.64,0.846,2.088,207,9.74,3.9694,"Brill et al, 1987","Ref.011",37.33,2
"GDM.0043",NA,"Pb metal","s. XV",18.36,15.64,38.46,0.852,2.095,273,9.7,3.9612,"Brill et al, 1987","Ref.011",37.33,2
"GDM.0044",NA,"Pb metal","s. XV",18.41,15.63,38.46,0.849,2.089,216,9.65,3.9241,"Brill et al, 1987","Ref.011",37.33,2
"GDM.0045",NA,"Pb metal","s. XV",18.24,15.62,38.4,0.856,2.105,325,9.65,4.0038,"Brill et al, 1987","Ref.011",37.33,2
