"","code","sample","country","province","location","outcrop","decimallatitude","decimallongitude","sample.type","analysed.material","sample.details","main.ore","p206.204","p206.204.2sd","p207.204","p207.204.2sd","p208.204","p208.204.2sd","p207.206","p207.206.2sd","p208.206","p208.206.2sd","pb.content","u.content","model.age","mu","w","geological.zone","geol.age","host.rock","deposit.morphology","realm","excavation.no","find.spot","courtesy","period","chronology","tmod","mu12","kappa12","reference","ref.code","laboratory","spectrometry","observations","sample.type1"
"GDM.0005","GDM.0005",NA,"Portugal","Coimbra","<U+FEFF>Conimbriga",NA,40.098864,-8.493918,"Archaeological artefacts","Pb metal","Lead pipe",NA,18.33,NA,15.77,NA,38.9,NA,0.861,NA,2.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,530,10.2288,4.2641,"Grögler et al., 1966","Ref.003","ETH, Zürich","TIMS",NA,"Archaeological"
"GDM.0006","GDM.0006",NA,"Portugal","Faro","Caldas de Monchique",NA,37.285612,-8.549999,"Archaeological artefacts","Pb metal","Lead pipe",NA,18.42,NA,15.74,NA,38.71,NA,0.855,NA,2.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,414,10.0814,4.0883,"Grögler et al., 1966","Ref.003","ETH, Zürich","TIMS",NA,"Archaeological"
"GDM.0007","GDM.0007",NA,"Portugal","Faro","Caldas de Monchique",NA,37.285612,-8.549999,"Archaeological artefacts","Pb metal","Lead pipe",NA,18.42,NA,15.72,NA,38.69,NA,0.854,NA,2.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,378,10.0008,4.0708,"Grögler et al., 1966","Ref.003","ETH, Zürich","TIMS",NA,"Archaeological"
"GDM.0023","GDM.0023","RT-26A-83","Spain","Huelva","Rio Tinto",NA,37.715398,-6.583105,"Archaeological artefacts","Pb metal","Lead from late Bronze Age Deposis",NA,18.73,NA,16.119,NA,39.276,NA,0.86062,NA,2.09694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,812,11.57,4.2939,"Craddock et al., 1985","Ref.009","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0024","GDM.0024","RT-19A-86","Spain","Huelva","Rio Tinto",NA,37.715398,-6.583105,"Archaeological artefacts","Pb metal",NA,NA,18.59,NA,15.709,NA,38.9,NA,0.84503,NA,2.09253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,234,9.9169,4.0616,"Craddock et al., 1985","Ref.009","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0025","GDM.0025","RT-19A-63","Spain","Huelva","Rio Tinto",NA,37.715398,-6.583105,"Archaeological artefacts","Pb metal",NA,NA,18.779,NA,15.764,NA,39.269,NA,0.83946,NA,2.09112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,200,10.0918,4.1424,"Craddock et al., 1985","Ref.009","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0026","GDM.0026","RT-19A-85","Spain","Huelva","Rio Tinto",NA,37.715398,-6.583105,"Archaeological artefacts","Litharge",NA,NA,18.599,NA,15.702,NA,38.879,NA,0.84425,NA,2.0904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,214,9.8875,4.0422,"Craddock et al., 1985","Ref.009","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0027","GDM.0027","RT-19A-88","Spain","Huelva","Rio Tinto",NA,37.715398,-6.583105,"Archaeological artefacts","Silver","Raw Silver",NA,18.516,NA,15.647,NA,38.648,NA,0.84507,NA,2.08729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,169,9.69,3.9582,"Craddock et al., 1985","Ref.009","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0028","GDM.0028","RT-19A","Spain","Huelva","Rio Tinto",NA,37.715398,-6.583105,"Archaeological artefacts","Pb metal","Plate Slag",NA,18.73,NA,15.703,NA,39.064,NA,0.83839,NA,2.08564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,119,9.8644,4.0497,"Craddock et al., 1985","Ref.009","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0029","GDM.0029","RT-19A","Spain","Huelva","Rio Tinto",NA,37.715398,-6.583105,"Archaeological artefacts","Pb metal","Concave Surface of Wedge",NA,18.522,NA,15.714,NA,38.824,NA,0.84842,NA,2.0961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,293,9.9521,4.0698,"Craddock et al., 1985","Ref.009","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0041","GDM.0041","Pb-1442, 1674","Spain","Segovia",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Blanca",NA,18.37,NA,15.61,NA,38.35,NA,0.8496,NA,2.0877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1471-74",207,9.5761,3.8853,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological"
