"","code","analysed.material","geological.zone","main.ore","p206.204","p207.204","p208.204","p207.206","p208.206","tmod","mu12","kappa12","reference","ref.code","decimallatitude","decimallongitude","sample.type1","geol.zone"
"GDM.0001","GDM.0001","Galena","OMZ","Cu",18.27,15.59,38.385,0.853,2.102,244,9.52,3.9643,"Russel & Farquhar, 1961","Ref.001",37.678668,-6.559116,"Geological","Ossa Morena Zone"
"GDM.0002","GDM.0002","Galena","OMZ","Cu",18.512,15.859,39.134,0.857,2.114,554,10.54,4.2896,"Russel & Farquhar, 1961","Ref.001",37.678668,-6.559116,"Geological","Ossa Morena Zone"
"GDM.0003","GDM.0003","Galena","NIM","Pb",18.35,15.726,38.792,0.857,2.114,439,10.04,4.1762,"Russel & Farquhar, 1961","Ref.001",38.296034,-3.598455,"Geological","Northern branch of the Iberian Massif"
"GDM.0004","GDM.0004","Galena","NIM","Pb",18.27,15.659,38.659,0.857,2.116,375,9.79,4.1374,"Brown (1962)","Ref.002",38.100262,-3.63207,"Geological","Northern branch of the Iberian Massif"
"GDM.0005","GDM.0005","Pb metal",NA,NA,18.33,15.77,38.9,0.861,2.122,530,10.23,4.2641,"Grögler et al., 1966","Ref.003",40.098864,-8.493918,"Archaeological",NA
"GDM.0006","GDM.0006","Pb metal",NA,NA,18.42,15.74,38.71,0.855,2.102,414,10.08,4.0883,"Grögler et al., 1966","Ref.003",37.285612,-8.549999,"Archaeological",NA
"GDM.0007","GDM.0007","Pb metal",NA,NA,18.42,15.72,38.69,0.854,2.101,378,10,4.0708,"Grögler et al., 1966","Ref.003",37.285612,-8.549999,"Archaeological",NA
"GDM.0008","GDM.0008","Galena","SPZ",NA,18.25,15.69,38.36,0.86,2.102,447,9.92,3.9993,"Brill&Wampler, 1967","Ref.004",37.689697,-6.555895,"Geological","South Portuguese Zone"
"GDM.0009","GDM.0009","Galena","BC","Zn-Pb",18.726,15.706,39.055,0.839,2.086,128,9.88,4.0489,"Graeser & Friedrich, 1970","Ref.005",37.602327,-1.322867,"Geological","Betic Cordillera"
"GDM.0010","GDM.0010","Galena","BC","Zn-Pb",18.754,15.697,38.946,0.837,2.077,90,9.84,3.9724,"Graeser & Friedrich, 1970","Ref.005",37.29559,-1.751109,"Geological","Betic Cordillera"
