"code","analysed.material","geological.zone","main.ore","p206.204","p207.204","p208.204","p207.206","p208.206","tmod","mu12","kappa12","reference","ref.code","decimallatitude","decimallongitude"
"GDM.0001","Galena","OMZ","Cu",18.27,15.59,38.385,0.853,2.102,244,9.52,3.9643,"Russel & Farquhar, 1961","Ref.001",37.678668,-6.559116
"GDM.0002","Galena","OMZ","Cu",18.512,15.859,39.134,0.857,2.114,554,10.54,4.2896,"Russel & Farquhar, 1961","Ref.001",37.678668,-6.559116
"GDM.0003","Galena","NIM","Pb",18.35,15.726,38.792,0.857,2.114,439,10.04,4.1762,"Russel & Farquhar, 1961","Ref.001",38.296034,-3.598455
"GDM.0004","Galena","NIM","Pb",18.27,15.659,38.659,0.857,2.116,375,9.79,4.1374,"Brown (1962)","Ref.002",38.100262,-3.63207
"GDM.0008","Galena","SPZ",NA,18.25,15.69,38.36,0.86,2.102,447,9.92,3.9993,"Brill&Wampler, 1967","Ref.004",37.689697,-6.555895
"GDM.0009","Galena","BC","Zn-Pb",18.726,15.706,39.055,0.839,2.086,128,9.88,4.0489,"Graeser & Friedrich, 1970","Ref.005",37.602327,-1.322867
"GDM.0010","Galena","BC","Zn-Pb",18.754,15.697,38.946,0.837,2.077,90,9.84,3.9724,"Graeser & Friedrich, 1970","Ref.005",37.29559,-1.751109
"GDM.0011","Galena","BC","Zn-Pb",18.752,15.696,38.936,0.837,2.076,89,9.83,3.9683,"Graeser & Friedrich, 1970","Ref.005",37.602327,-1.322867
"GDM.0012","Galena","BC","Zn-Pb",18.76,15.707,39.009,0.837,2.079,105,9.87,4.0038,"Graeser & Friedrich, 1970","Ref.005",37.279147,-1.762047
"GDM.0013","Galena","BC","Zn-Pb",18.748,15.715,38.981,0.838,2.079,129,9.91,4.0004,"Graeser & Friedrich, 1970","Ref.005",37.602327,-1.322867
"GDM.0014","Galena","BC","Zn-Pb",18.762,15.709,38.96,0.837,2.077,107,9.88,3.9786,"Graeser & Friedrich, 1970","Ref.005",37.602327,-1.322867
"GDM.0015","Galena","BC","Zn-Pb",18.681,15.558,38.572,0.833,2.065,-143,9.32,3.7799,"Graeser & Friedrich, 1970","Ref.005",37.602327,-1.322867
"GDM.0069","Galena","NIM","Cu-Pb",18.225,15.765,38.678,0.865,2.122,595,10.24,4.2168,"ENADIMSA, 1971","Ref.006",38.339702,-3.522492
"GDM.0070","Galena","NIM","Cu-Pb",18.372,15.801,38.992,0.86,2.122,554,10.34,4.2942,"ENADIMSA, 1971","Ref.006",38.140853,-3.679209
"GDM.0071","Galena","NIM","Cu-Pb",18.694,16.08,38.788,0.86,2.075,778,11.41,4.0519,"ENADIMSA, 1971","Ref.006",38.140853,-3.679209
"GDM.0072","Galena","NIM","Cu-Pb",18.58,15.948,39.273,0.858,2.114,652,10.89,4.3441,"ENADIMSA, 1971","Ref.006",38.140853,-3.679209
"GDM.0073","Galena","NIM","Cu-Pb",18.504,15.897,39.062,0.859,2.111,622,10.7,4.2695,"ENADIMSA, 1971","Ref.006",38.140853,-3.679209
"GDM.0074","Galena","NIM","Cu-Pb",18.285,15.765,38.834,0.862,2.124,553,10.22,4.259,"ENADIMSA, 1971","Ref.006",38.140853,-3.679209
"GDM.0075","Galena","NIM","Cu-Pb",18.768,16.035,39.231,0.854,2.09,664,11.2,4.2199,"ENADIMSA, 1971","Ref.006",38.140853,-3.679209
"GDM.0076","Galena","NIM","Cu-Pb",18.503,15.869,39.417,0.858,2.13,577,10.59,4.4495,"ENADIMSA, 1971","Ref.006",38.140853,-3.679209
"GDM.0077","Galena","NIM","Cu-Pb",18.545,15.925,39.199,0.859,2.114,639,10.81,4.3223,"ENADIMSA, 1971","Ref.006",38.140853,-3.679209
"GDM.0078","Galena","NIM","Cu-Pb",18.525,15.829,39.035,0.854,2.107,495,10.41,4.218,"ENADIMSA, 1971","Ref.006",38.140853,-3.679209
"GDM.0079","Galena","NIM","Cu-Pb",19.282,16.585,40.967,0.86,2.125,1095,13.42,4.8962,"ENADIMSA, 1971","Ref.006",38.35201,-3.500682
"GDM.0080","Galena","NIM","Cu-Pb",18.556,16.041,39.318,0.864,2.119,809,11.3,4.4143,"ENADIMSA, 1971","Ref.006",38.339702,-3.522492
"GDM.0016","Galena","NIM","Pb",18.21,15.62,38.49,0.858,2.114,347,9.65,4.0739,"Doe, 1976","Ref.007",38.296034,-3.598455
"GDM.0017","Galena","SPZ","Cu",18.28,15.59,38.4,0.853,2.102,236,9.52,3.9655,"Doe, 1976","Ref.007",37.678668,-6.559116
"GDM.0018","Galena","NIM","Pb",18.27,15.65,38.72,0.857,2.119,359,9.76,4.1673,"Doe, 1976","Ref.007",38.296034,-3.598455
"GDM.0019","Galena","NIM","Pb",18.35,15.72,38.8,0.857,2.114,428,10.02,4.1784,"Doe, 1976","Ref.007",38.296034,-3.598455
"GDM.0020","Galena","OMZ","Pb",18.39,16.03,38.76,0.872,2.108,898,11.32,4.2271,"Doe, 1976","Ref.007",38.55883,-6.057684
