"","code","sample","country","province","location","outcrop","decimallatitude","decimallongitude","sample.type","analysed.material","sample.details","main.ore","p206.204","p206.204.2sd","p207.204","p207.204.2sd","p208.204","p208.204.2sd","p207.206","p207.206.2sd","p208.206","p208.206.2sd","pb.content","u.content","model.age","mu","w","geological.zone","geol.age","host.rock","deposit.morphology","realm","excavation.no","find.spot","courtesy","period","chronology","tmod","mu12","kappa12","reference","ref.code","laboratory","spectrometry","observations","sample.type1"
"GDM.0001","GDM.0001",NA,"Spain","Huelva","Minas de Riotinto",NA,37.678668,-6.559116,"Mineral","Galena",NA,"Cu",18.27,NA,15.59,NA,38.385,NA,0.8533,NA,2.1018,NA,NA,NA,NA,NA,NA,"OMZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,244,9.5194,3.9643,"Russel & Farquhar, 1961","Ref.001","U. British Columbia, Vancouver","TIMS","Cited in Dayton and Dayton, 1986","Geological"
"GDM.0002","GDM.0002",NA,"Spain","Huelva","Minas de Riotinto",NA,37.678668,-6.559116,"Mineral","Galena",NA,"Cu",18.512,NA,15.859,NA,39.134,NA,0.8567,NA,2.114,NA,NA,NA,NA,NA,NA,"OMZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,554,10.542,4.2896,"Russel & Farquhar, 1961","Ref.001","U. British Columbia, Vancouver","TIMS","Cited in Dayton and Dayton, 1986","Geological"
"GDM.0003","GDM.0003",NA,"Spain","Jaen","La Carolina","La Carolina",38.296034,-3.598455,"Mineral","Galena",NA,"Pb",18.35,NA,15.726,NA,38.792,NA,0.857,NA,2.114,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,439,10.0433,4.1762,"Russel & Farquhar, 1961","Ref.001","U. British Columbia, Vancouver","TIMS","Cited in Dayton and Dayton, 1986","Geological"
"GDM.0004","GDM.0004",NA,"Spain","Jaen","Linares","Los Linares",38.100262,-3.63207,"Mineral","Galena",NA,"Pb",18.27,NA,15.659,NA,38.659,NA,0.8571,NA,2.116,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,375,9.7937,4.1374,"Brown (1962)","Ref.002","Data compilation","TIMS","Cited in Dayton and Dayton, 1986","Geological"
"GDM.0008","GDM.0008",NA,"Spain","Huelva","Riotinto",NA,37.689697,-6.555895,"Mineral","Galena",NA,NA,18.25,NA,15.69,NA,38.36,NA,0.8598,NA,2.102,NA,NA,NA,NA,NA,NA,"SPZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,447,9.9242,3.9993,"Brill&Wampler, 1967","Ref.004","Brookhaven, New York","TIMS",NA,"Geological"
"GDM.0009","GDM.0009","297","Spain","Murcia","Cartagena","Emilia",37.602327,-1.322867,"Mineral","Galena","Zn-Pb","Zn-Pb",18.726,NA,15.706,NA,39.055,NA,0.83873,NA,2.0856,NA,NA,NA,NA,NA,NA,"BC","Cenozoic",NA,NA,NA,NA,NA,NA,NA,NA,128,9.8768,4.0489,"Graeser & Friedrich, 1970","Ref.005","U. Bern","TIMS","Geol.age in Doe, B.R., Rohrbourg, R., 1977 ","Geological"
"GDM.0010","GDM.0010","521a","Spain","Murcia","Cartagena","Gloria",37.29559,-1.751109,"Mineral","Galena","Zn-Pb","Zn-Pb",18.754,NA,15.697,NA,38.946,NA,0.83699,NA,2.07668,NA,NA,NA,NA,NA,NA,"BC","Cenozoic",NA,NA,NA,NA,NA,NA,NA,NA,90,9.8365,3.9724,"Graeser & Friedrich, 1970","Ref.005","U. Bern","TIMS","Geol.age in Doe, B.R., Rohrbourg, R., 1977 ","Geological"
"GDM.0011","GDM.0011","K31","Spain","Murcia","Cartagena","Julio Cesar",37.602327,-1.322867,"Mineral","Galena","Zn-Pb","Zn-Pb",18.752,NA,15.696,NA,38.936,NA,0.83703,NA,2.07637,NA,NA,NA,NA,NA,NA,"BC","Cenozoic",NA,NA,NA,NA,NA,NA,NA,NA,89,9.833,3.9683,"Graeser & Friedrich, 1970","Ref.005","U. Bern","TIMS","Geol.age in Doe, B.R., Rohrbourg, R., 1977 ","Geological"
"GDM.0012","GDM.0012","K10","Spain","Murcia","Cartagena","Confianza",37.279147,-1.762047,"Mineral","Galena","Zn-Pb","Zn-Pb",18.76,NA,15.707,NA,39.009,NA,0.83726,NA,2.07937,NA,NA,NA,NA,NA,NA,"BC","Cenozoic",NA,NA,NA,NA,NA,NA,NA,NA,105,9.874,4.0038,"Graeser & Friedrich, 1970","Ref.005","U. Bern","TIMS","Geol.age in Doe, B.R., Rohrbourg, R., 1977 ","Geological"
"GDM.0013","GDM.0013","419","Spain","Murcia","Cartagena","Secretario",37.602327,-1.322867,"Mineral","Galena","Zn-Pb","Zn-Pb",18.748,NA,15.715,NA,38.981,NA,0.83822,NA,2.07921,NA,NA,NA,NA,NA,NA,"BC","Cenozoic",NA,NA,NA,NA,NA,NA,NA,NA,129,9.9073,4.0004,"Graeser & Friedrich, 1970","Ref.005","U. Bern","TIMS","Geol.age in Doe, B.R., Rohrbourg, R., 1977 ","Geological"
