"","code","sample","country","province","location","outcrop","decimallatitude","decimallongitude","sample.type","analysed.material","sample.details","main.ore","p206.204","p206.204.2sd","p207.204","p207.204.2sd","p208.204","p208.204.2sd","p207.206","p207.206.2sd","p208.206","p208.206.2sd","pb.content","u.content","model.age","mu","w","geological.zone","geol.age","host.rock","deposit.morphology","realm","excavation.no","find.spot","courtesy","period","chronology","tmod","mu12","kappa12","reference","ref.code","laboratory","spectrometry","observations","sample.type1","geol.zone"
"GDM.0001","GDM.0001",NA,"Spain","Huelva","Minas de Riotinto",NA,37.678668,-6.559116,"Mineral","Galena",NA,"Cu",18.27,NA,15.59,NA,38.385,NA,0.8533,NA,2.1018,NA,NA,NA,NA,NA,NA,"OMZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,244,9.5194,3.9643,"Russel & Farquhar, 1961","Ref.001","U. British Columbia, Vancouver","TIMS","Cited in Dayton and Dayton, 1986","Geological","Ossa Morena Zone"
"GDM.0002","GDM.0002",NA,"Spain","Huelva","Minas de Riotinto",NA,37.678668,-6.559116,"Mineral","Galena",NA,"Cu",18.512,NA,15.859,NA,39.134,NA,0.8567,NA,2.114,NA,NA,NA,NA,NA,NA,"OMZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,554,10.542,4.2896,"Russel & Farquhar, 1961","Ref.001","U. British Columbia, Vancouver","TIMS","Cited in Dayton and Dayton, 1986","Geological","Ossa Morena Zone"
"GDM.0003","GDM.0003",NA,"Spain","Jaen","La Carolina","La Carolina",38.296034,-3.598455,"Mineral","Galena",NA,"Pb",18.35,NA,15.726,NA,38.792,NA,0.857,NA,2.114,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,439,10.0433,4.1762,"Russel & Farquhar, 1961","Ref.001","U. British Columbia, Vancouver","TIMS","Cited in Dayton and Dayton, 1986","Geological","Northern branch of the Iberian Massif"
"GDM.0004","GDM.0004",NA,"Spain","Jaen","Linares","Los Linares",38.100262,-3.63207,"Mineral","Galena",NA,"Pb",18.27,NA,15.659,NA,38.659,NA,0.8571,NA,2.116,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,375,9.7937,4.1374,"Brown (1962)","Ref.002","Data compilation","TIMS","Cited in Dayton and Dayton, 1986","Geological","Northern branch of the Iberian Massif"
"GDM.0005","GDM.0005",NA,"Portugal","Coimbra","<U+FEFF>Conimbriga",NA,40.098864,-8.493918,"Archaeological artefacts","Pb metal","Lead pipe",NA,18.33,NA,15.77,NA,38.9,NA,0.861,NA,2.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,530,10.2288,4.2641,"Grögler et al., 1966","Ref.003","ETH, Zürich","TIMS",NA,"Archaeological",NA
"GDM.0006","GDM.0006",NA,"Portugal","Faro","Caldas de Monchique",NA,37.285612,-8.549999,"Archaeological artefacts","Pb metal","Lead pipe",NA,18.42,NA,15.74,NA,38.71,NA,0.855,NA,2.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,414,10.0814,4.0883,"Grögler et al., 1966","Ref.003","ETH, Zürich","TIMS",NA,"Archaeological",NA
"GDM.0007","GDM.0007",NA,"Portugal","Faro","Caldas de Monchique",NA,37.285612,-8.549999,"Archaeological artefacts","Pb metal","Lead pipe",NA,18.42,NA,15.72,NA,38.69,NA,0.854,NA,2.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,378,10.0008,4.0708,"Grögler et al., 1966","Ref.003","ETH, Zürich","TIMS",NA,"Archaeological",NA
"GDM.0008","GDM.0008",NA,"Spain","Huelva","Riotinto",NA,37.689697,-6.555895,"Mineral","Galena",NA,NA,18.25,NA,15.69,NA,38.36,NA,0.8598,NA,2.102,NA,NA,NA,NA,NA,NA,"SPZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,447,9.9242,3.9993,"Brill&Wampler, 1967","Ref.004","Brookhaven, New York","TIMS",NA,"Geological","South Portuguese Zone"
"GDM.0009","GDM.0009","297","Spain","Murcia","Cartagena","Emilia",37.602327,-1.322867,"Mineral","Galena","Zn-Pb","Zn-Pb",18.726,NA,15.706,NA,39.055,NA,0.83873,NA,2.0856,NA,NA,NA,NA,NA,NA,"BC","Cenozoic",NA,NA,NA,NA,NA,NA,NA,NA,128,9.8768,4.0489,"Graeser & Friedrich, 1970","Ref.005","U. Bern","TIMS","Geol.age in Doe, B.R., Rohrbourg, R., 1977 ","Geological","Betic Cordillera"
"GDM.0010","GDM.0010","521a","Spain","Murcia","Cartagena","Gloria",37.29559,-1.751109,"Mineral","Galena","Zn-Pb","Zn-Pb",18.754,NA,15.697,NA,38.946,NA,0.83699,NA,2.07668,NA,NA,NA,NA,NA,NA,"BC","Cenozoic",NA,NA,NA,NA,NA,NA,NA,NA,90,9.8365,3.9724,"Graeser & Friedrich, 1970","Ref.005","U. Bern","TIMS","Geol.age in Doe, B.R., Rohrbourg, R., 1977 ","Geological","Betic Cordillera"
